"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID","threshold"
"2400518",-0.452796160680444,10.0041946929612,-3.4515253648185,0.00111713775581598,0.00456710979629746,-1.58580874837064,"ECE1","endothelin converting enzyme 1","1889","Not Sig"
"2400655",0.408393236397344,7.21592405646629,2.3207561827942,0.0242671395628884,0.0605300177326151,-4.41257872078647,"RAP1GAP","RAP1 GTPase activating protein","5909","Not Sig"
"2400718",-0.0586767093742839,7.69680579813703,-0.657604165688182,0.513700969274475,0.644608177110796,-6.78411458820081,"USP48","ubiquitin specific peptidase 48","84196","Not Sig"
"2400793",-0.27758783838091,9.39467668244462,-1.91015075185939,0.0616511615349036,0.129373983844481,-5.21988217277858,"HSPG2","heparan sulfate proteoglycan 2","3339","Not Sig"
"2401018",-0.0439382543184745,7.23786805281198,-0.441968378625123,0.660349767398647,0.767948366366124,-6.90324624134839,"WNT4","Wnt family member 4","54361","Not Sig"
"2401193",-0.204626902204152,7.22479495429805,-3.37546236732926,0.0014024827609988,0.00555017045169807,-1.79975362179701,"LUZP1","leucine zipper protein 1","7798","Not Sig"
"2401251",-0.102328824452642,6.61688351529753,-1.16037557447545,0.251210109914067,0.384802474427718,-6.32991347154048,"HTR1D","5-hydroxytryptamine receptor 1D","3352","Not Sig"
"2401275",0.213935699808189,8.99571972244907,2.49941604335587,0.015643783397266,0.0421772802985329,-4.02150515238538,"HNRNPR","heterogeneous nuclear ribonucleoprotein R","10236","Not Sig"
"2401333",-0.238507704682544,9.25673522616319,-2.15549866082894,0.0357853063997907,0.0833866588149262,-4.75327472652522,"ZNF436","zinc finger protein 436","80818","Not Sig"
"2401347",0.570362721935728,8.99493580538563,3.41083867643384,0.00126209090094671,0.00508230567521734,-1.70062291904383,"TCEA3","transcription elongation factor A3","6920","Not Sig"
"2401384",0.098449867325118,7.54450974237588,1.37416080964845,0.175302003360583,0.293338330239455,-6.06435772803568,"ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3","55616","Not Sig"
"2401448",0.125032931447672,6.45461811662248,1.73685592604108,0.0883497707471857,0.172033510608307,-5.5199189401668,"E2F2","E2F transcription factor 2","1870","Not Sig"
"2401493",-0.303263010578628,7.21870361085818,-2.21686922351029,0.031041405146768,0.0740572695301875,-4.62917180346959,"ID3","inhibitor of DNA binding 3","3399","Not Sig"
"2401581",0.490964691120505,7.61983480035389,4.78423014973699,1.46477841518461e-05,0.000110756570582716,2.5660410811142,"GALE","UDP-galactose-4-epimerase","2582","Not Sig"
"2401609",0.0039885225567371,6.81667069530211,0.0571659593549308,0.954632694241904,0.971821654485237,-7.00015030359432,"HMGCL","3-hydroxy-3-methylglutaryl-CoA lyase","3155","Not Sig"
"2401643",0.118995705506172,7.95157596386884,0.60664631479054,0.546732421519412,0.67450244546915,-6.8164294251471,"FUCA1","alpha-L-fucosidase 1","2517","Not Sig"
"2401670",-0.13037662451398,6.09844648654475,-2.07630280319632,0.0428394658181828,0.0966716544387654,-4.90911287770901,"MYOM3","myomesin 3","127294","Not Sig"
"2401753",-0.0672539493516959,6.36166979998967,-1.06287095650918,0.292765015676684,0.431826839497231,-6.43691904760833,"IL22RA1","interleukin 22 receptor subunit alpha 1","58985","Not Sig"
"2401774",-0.110695006815514,6.96091262147303,-1.76017352915572,0.0842754140613217,0.16559419201069,-5.48101256931351,"IFNLR1","interferon lambda receptor 1","163702","Not Sig"
"2401849",-0.0176412335316485,6.50924772900875,-0.20705970203739,0.836774143108327,0.896382982318821,-6.98013843697372,"STPG1","sperm tail PG-rich repeat containing 1","90529","Not Sig"
"2401994",0.0572435810860661,8.0524084743783,0.623775496167751,0.535509331597879,0.664885824560069,-6.80585321802817,"RUNX3","RUNX family transcription factor 3","864","Not Sig"
