"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0010092","GO:0010092","specification of animal organ identity",37,-0.60540480566239,-1.74697597759773,0.0033452999865678,0.0225624344488799,0.0159311031216283,2591,"tags=46%, list=15%, signal=39%","1499/3516/6091/8313/5460/7482/4036/2263/650/652/7481/4208/2260/2246/10252/2255/2247"
"GO:0002449","GO:0002449","lymphocyte mediated immunity",285,0.33965845131679,1.38858935998247,0.00334354485825857,0.0225624344488799,0.0159311031216283,3041,"tags=27%, list=18%, signal=22%","2625/7264/9156/2214/721/941/51571/2209/11006/91543/3251/7292/6398/79915/10125/10859/5819/2207/54209/3606/163486/3107/7037/7374/1512/10312/602/3122/2212/203068/2013/29126/2885/4683/8078/7305/3383/3560/54795/4615/84868/914/81607/81622/3263/11151/10459/3822/6693/114836/84542/22976/7468/5052/717/154064/5580/7784/7040/3002/3071/5027/4436/5777/10666/57823/80329/127544/695/714/6891/567/8772/713/7186/10870"
"GO:0034340","GO:0034340","response to type I interferon",92,0.444816831283801,1.58367126100018,0.00335215945440649,0.0225839351632578,0.0159462845551175,3995,"tags=35%, list=23%, signal=27%","4939/4321/6772/4940/4938/3429/6472/4599/11274/23170/3434/64135/103/8638/5770/4615/54502/29110/3654/84166/5777/6773/81030/8772/7187/9641/7474/6609/8519/3665/1642/23053"
"GO:0050792","GO:0050792","regulation of viral process",129,0.405233642030034,1.51225074477523,0.00336392641725744,0.0226384150903178,0.0159847522718003,3908,"tags=42%, list=23%, signal=33%","7153/4939/684/6772/4940/4938/91543/6732/5819/4599/6993/8815/3838/27074/3434/64135/103/9217/8638/56649/6780/682/9830/9235/60489/1660/7706/55254/57169/7251/3609/164668/10155/200316/3669/5886/51495/5481/6737/972/23633/6895/5987/5610/6352/6609/8519/63901/920/6733/55223/51773/85363/1642"
"GO:0045744","GO:0045744","negative regulation of G protein-coupled receptor signaling pathway",63,-0.527889401349681,-1.69098334871326,0.0033699011778968,0.0226538384101019,0.0159956425194158,2524,"tags=37%, list=15%, signal=31%","56246/6091/11240/5530/3576/493/1813/112609/408/133/154/5064/5139/157/6622/57561/5997/9737/5138/5140/4233/9353/6586"
"GO:0007193","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway",92,-0.473106122213487,-1.58846055831185,0.00337598403200853,0.0226699539092625,0.0160070215077766,1265,"tags=24%, list=7%, signal=22%","165140/1128/11251/1131/1813/3690/5064/150/5734/64805/111/5997/1906/4887/1902/5138/1901/4886/2770/115330/9590/6387"
"GO:0051452","GO:0051452","intracellular pH reduction",54,0.514780876827505,1.64546333453381,0.00338488377671177,0.0227049292372455,0.0160317172274726,5418,"tags=59%, list=31%, signal=41%","56833/533/537/5538/23312/10159/2896/10312/51606/147007/523/54982/252839/9114/23315/155066/527/6556/9296/3920/526/440400/55647/54664/7337/23557/7879/51382/245972/282679/54734/535"
"GO:0035809","GO:0035809","regulation of urine volume",21,-0.698548116239568,-1.79676244443706,0.00340036788308375,0.0227839464584403,0.0160875104754083,2480,"tags=43%, list=14%, signal=37%","231/51763/1813/3037/133/4883/1906/4881/1910"
"GO:0060502","GO:0060502","epithelial cell proliferation involved in lung morphogenesis",12,-0.796710735009305,-1.77680137481745,0.00342864537067696,0.0229344452712134,0.0161937761406406,1901,"tags=42%, list=11%, signal=37%","2263/652/2252/93986/4781"
"GO:0009148","GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process",16,0.712374141652896,1.76654925247285,0.00343028607535626,0.0229344452712134,0.0161937761406406,3061,"tags=56%, list=18%, signal=46%","4830/7298/1503/4833/56474/7371/54963/10201/4832"
"GO:0061458","GO:0061458","reproductive system development",298,-0.358692494068685,-1.39968571372048,0.00344313283646363,0.0229953421032441,0.0162367747679855,1954,"tags=21%, list=11%, signal=19%","666/152006/4089/1028/7482/4036/2263/7812/93649/57728/3625/4855/51665/7098/4313/54477/4327/54206/652/4882/203102/55366/2069/9420/654/8648/7301/3205/718/283/3791/92/6777/2241/6776/247/25976/23414/3973/653/3021/2494/22836/5268/5176/5243/5806/3400/130497/8531/54997/9510/8322/118429/9353/8644/8626/6586/2255/3479/3815/3952/5950/6422"
"GO:0070306","GO:0070306","lens fiber cell differentiation",39,-0.600750158825783,-1.76623871757398,0.00345724313685218,0.0230395477083183,0.016267987891489,2258,"tags=38%, list=13%, signal=34%","1969/161742/1028/4088/4094/11145/468/5629/7431/4916/9839/10252/7111/10253/2247"
"GO:0090263","GO:0090263","positive regulation of canonical Wnt signaling pathway",104,-0.456831647402961,-1.56677209352656,0.00345357704255943,0.0230395477083183,0.016267987891489,955,"tags=18%, list=6%, signal=17%","81847/10413/59352/1950/23189/23500/6424/9037/25960/51704/8434/79971/9839/84870/2255/1956/2247/2719/6422"
"GO:0051580","GO:0051580","regulation of neurotransmitter uptake",20,-0.698395763006761,-1.7802554613986,0.00346919998607031,0.0230942089981802,0.0163065836665825,1797,"tags=35%, list=10%, signal=31%","1813/3690/8864/6622/477/5071/2824"
"GO:0007019","GO:0007019","microtubule depolymerization",51,0.526240452125165,1.67498371285748,0.00347927937404139,0.0231362674915985,0.0163362807366086,1179,"tags=22%, list=7%, signal=20%","22974/81930/81624/26586/3925/11004/9212/10519/55605/9793/347240"
"GO:0006809","GO:0006809","nitric oxide biosynthetic process",72,-0.504202769971579,-1.64700230709536,0.00352239832420464,0.0233977020433939,0.0165208769872324,1877,"tags=36%, list=11%, signal=32%","10365/4775/6095/23564/1727/493/1191/4088/1524/6648/140885/1545/9475/7099/92/1906/5806/5311/9314/64757/5740/5743/857/3479/3043/948"
"GO:1902412","GO:1902412","regulation of mitotic cytokinesis",16,0.710971101506088,1.76306998592229,0.00353804278354537,0.0234762687827266,0.0165763521545543,2600,"tags=62%, list=15%, signal=53%","1894/55143/9212/9585/332/23636/26073/382/65125/8766"
"GO:0090075","GO:0090075","relaxation of muscle",33,-0.607269553976555,-1.70982567031925,0.0035464569511443,0.0235067421406127,0.0165978690794253,1606,"tags=45%, list=9%, signal=41%","10335/5592/136/5142/5290/3759/5350/817/2982/4883/5997/2946/477/2770/2934"
"GO:0018279","GO:0018279","protein N-linked glycosylation via asparagine",41,0.553277315920276,1.69125139177915,0.00356345321055447,0.0235749862983793,0.0166460555779741,4009,"tags=51%, list=23%, signal=39%","10195/79644/79053/57171/56052/8818/1798/2530/29929/8813/6184/9526/56886/1603/3703/91319/4247/200185/1650/84061/201595"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process",98,0.447961720764607,1.60983548083918,0.00356441834782844,0.0235749862983793,0.0166460555779741,5091,"tags=52%, list=29%, signal=37%","4830/142/6391/4833/4695/54209/226/4715/134145/4712/4720/516/54539/4704/4706/4700/4702/4696/4716/4701/9556/4728/7040/10201/55967/514/790955/4832/7415/506/93974/527/51079/84833/10165/4694/126328/6901/4698/30968/4708/509/5604/4722/6389/65990/3614/132/2023/9605/4717"
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis",80,-0.489047954950816,-1.6212297046252,0.00357008696973243,0.023587115951476,0.0166546202013862,2002,"tags=30%, list=12%, signal=27%","5460/7482/1435/657/219736/650/652/55366/4804/79864/2119/59277/2260/6591/1906/3082/2246/147495/2252/10252/947/2255/2247/6422"
