"x"
"2883878"
"3984536"
"3984655"
"2949622"
"3920003"
"3513549"
"4018080"
"3417146"
"2592532"
"3751042"
"3676127"
"3108526"
"2340433"
"2701109"
"3020273"
"2995589"
"3102096"
"2482505"
"3214926"
"3768791"
"4027639"
"3091077"
"2436401"
"3687789"
"2413484"
"2779271"
"2742581"
"3187686"
"3985260"
"2593796"
"4004044"
"2788926"
"3377964"
"3065740"
"3519309"
"2838656"
"2925237"
"3116839"
"2879312"
"3851826"
"3820921"
"2762088"
"4000538"
"3985717"
"2454532"
"3444043"
"3039485"
"3537164"
"3102372"
"2818035"
